# cell name, slice location, slice type, tile location, tile type, clock region
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[94].cell/FF_REG,SLICE_X2Y94,SLICEM,CLBLM_R_X3Y94,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[95].cell/FF_REG,SLICE_X2Y95,SLICEM,CLBLM_R_X3Y95,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[96].cell/FF_REG,SLICE_X2Y96,SLICEM,CLBLM_R_X3Y96,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[97].cell/FF_REG,SLICE_X2Y97,SLICEM,CLBLM_R_X3Y97,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[98].cell/FF_REG,SLICE_X2Y98,SLICEM,CLBLM_R_X3Y98,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[99].cell/FF_REG,SLICE_X2Y99,SLICEM,CLBLM_R_X3Y99,CLBLM_R,X0Y1
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[100].cell/FF_REG,SLICE_X2Y100,SLICEM,CLBLM_R_X3Y100,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[101].cell/FF_REG,SLICE_X2Y101,SLICEM,CLBLM_R_X3Y101,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[102].cell/FF_REG,SLICE_X2Y102,SLICEM,CLBLM_R_X3Y102,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[103].cell/FF_REG,SLICE_X2Y103,SLICEM,CLBLM_R_X3Y103,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[104].cell/FF_REG,SLICE_X2Y104,SLICEM,CLBLM_R_X3Y104,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[105].cell/FF_REG,SLICE_X2Y105,SLICEM,CLBLM_R_X3Y105,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[106].cell/FF_REG,SLICE_X2Y106,SLICEM,CLBLM_R_X3Y106,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[107].cell/FF_REG,SLICE_X2Y107,SLICEM,CLBLM_R_X3Y107,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[108].cell/FF_REG,SLICE_X2Y108,SLICEM,CLBLM_R_X3Y108,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[109].cell/FF_REG,SLICE_X2Y109,SLICEM,CLBLM_R_X3Y109,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[110].cell/FF_REG,SLICE_X2Y110,SLICEM,CLBLM_R_X3Y110,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[111].cell/FF_REG,SLICE_X2Y111,SLICEM,CLBLM_R_X3Y111,CLBLM_R,X0Y2
mb_ro_sum_puf_i/PUF_UNDER_TEST/U0/puf_core_inst/ro_cell_bank_1/ro_cell_gen[112].cell/FF_REG,SLICE_X2Y112,SLICEM,CLBLM_R_X3Y112,CLBLM_R,X0Y2
